"","age","workclass","educationnum","maritalstatus","occupation","sex","hoursperweek","X50k"
"2451",42," Private",16,"Married"," Transport-moving",2,58,1
"2452",61," Private",8,"Married"," Craft-repair",2,40,1
"2453",46," gov",12,"Married"," Other-service",2,40,1
"2454",24," Private",16,"NeverMarried"," Exec-managerial",2,40,1
"2455",27," Private",13,"Married"," Craft-repair",2,70,1
"2456",47," Private",12,"Married"," Transport-moving",2,55,2
"2457",18," Private",13,"DSW"," Other-service",2,15,1
"2458",48," Private",12,"Married"," Sales",2,50,1
"2459",50," Self-emp-not-inc",12,"DSW"," Farming-fishing",2,40,1
"2460",40," gov",17,"DSW"," Prof-specialty",1,45,1
"2461",56," Self-emp-not-inc",9,"DSW"," Sales",2,40,1
"2462",34," Private",12,"NeverMarried"," Adm-clerical",1,40,1
"2463",56," gov",16,"Married"," Sales",2,40,1
"2464",18," Private",10,"NeverMarried"," Other-service",2,20,1
"2465",21," Private",13,"NeverMarried"," Other-service",1,25,1
"2466",40," Private",12,"DSW"," Tech-support",1,40,1
"2467",27," gov",12,"Married"," Handlers-cleaners",2,50,1
"2468",52," Self-emp-not-inc",18,"Married"," Prof-specialty",2,45,2
"2469",46," Private",12,"DSW"," Sales",1,30,1
"2470",23," Private",12,"NeverMarried"," Adm-clerical",1,40,1
"2471",50," Private",13,"Married"," Tech-support",2,45,2
"2472",19," Private",13,"NeverMarried"," Machine-op-inspct",2,50,1
"2473",20," Private",12,"NeverMarried"," Other-service",2,40,1
"2474",39," Private",13,"DSW"," Exec-managerial",1,40,2
"2475",24," Private",10,"NeverMarried"," Craft-repair",2,35,1
"2476",72," Private",14,"DSW"," Adm-clerical",1,40,1
"2477",42," gov",17,"Married"," Prof-specialty",1,20,2
"2478",42," Private",16,"DSW"," Sales",2,45,1
"2479",51," Private",16,"DSW"," Exec-managerial",2,50,1
"2480",39," Private",12,"Married"," Sales",2,50,2
"2481",40," gov",13,"NeverMarried"," Adm-clerical",1,35,1
"2482",34," Private",13,"Married"," Sales",2,55,2
"2483",19," Private",10,"NeverMarried"," Handlers-cleaners",2,40,1
"2484",26," Private",12,"NeverMarried"," Exec-managerial",1,40,1
"2485",45," gov",16,"DSW"," Prof-specialty",1,50,2
"2486",28," Private",17,"NeverMarried"," Prof-specialty",1,40,2
"2487",30," gov",16,"NeverMarried"," Prof-specialty",2,40,2
"2488",32," Private",12,"NeverMarried"," Adm-clerical",1,40,1
"2489",19," Private",13,"NeverMarried"," Other-service",1,25,1
"2490",21," Private",12,"NeverMarried"," Other-service",2,35,1
"2491",54," Private",12,"Married"," Priv-house-serv",1,20,1
"2492",62," Private",18,"Married"," Prof-specialty",2,30,2
"2493",25," Private",13,"NeverMarried"," Other-service",2,48,1
"2494",49," Self-emp-inc",13,"DSW"," Exec-managerial",1,32,1
"2495",32," Private",12,"Married"," Craft-repair",2,40,2
"2496",26," Private",13,"NeverMarried"," Prof-specialty",2,40,1
"2497",37," gov",12,"Married"," Protective-serv",2,40,2
"2498",58," Private",12,"DSW"," Sales",1,40,1
"2499",37," Private",13,"Married"," Adm-clerical",1,45,2
"2500",41," Private",12,"NeverMarried"," Exec-managerial",1,40,1
"2501",38," Private",16,"Married"," Exec-managerial",2,40,2
"2502",47," gov",12,"Married"," Other-service",2,40,1
"2503",42," Private",12,"DSW"," Other-service",2,35,1
"2504",30," gov",12,"Married"," Adm-clerical",2,40,1
"2505",43," Private",13,"Married"," Sales",2,40,2
"2506",34," Private",12,"Married"," Machine-op-inspct",2,40,1
"2507",57," Private",13,"DSW"," Exec-managerial",1,10,1
"2508",46," Private",10,"Married"," Machine-op-inspct",2,40,1
"2509",32," Private",13,"Married"," Transport-moving",2,55,1
"2510",20," Private",8,"NeverMarried"," Machine-op-inspct",1,11,1
"2511",47," Private",14,"DSW"," Sales",2,50,1
"2512",53," Self-emp-not-inc",7,"Married"," Exec-managerial",2,50,2
"2513",43," Private",16,"Married"," Sales",2,65,2
"2514",24," Private",13,"NeverMarried"," Other-service",1,40,1
"2515",43," gov",17,"Married"," Exec-managerial",2,60,2
"2516",22," Private",12,"NeverMarried"," Handlers-cleaners",2,40,1
"2517",40," Private",13,"DSW"," Exec-managerial",2,40,1
"2518",48," Private",12,"Married"," Exec-managerial",2,50,2
"2519",51," Private",12,"Married"," Craft-repair",2,45,2
"2520",24," gov",12,"NeverMarried"," Adm-clerical",1,40,1
"2521",19," Private",12,"NeverMarried"," Other-service",1,40,1
"2522",34," Private",13,"DSW"," Adm-clerical",1,30,1
"2523",24," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2524",41," Private",16,"Married"," Transport-moving",2,48,2
"2525",24," Private",12,"DSW"," Sales",1,38,1
"2526",22," gov",13,"NeverMarried"," Protective-serv",2,40,1
"2527",32," gov",13,"DSW"," Adm-clerical",1,40,1
"2528",41," Private",16,"DSW"," Exec-managerial",1,55,1
"2529",20," Private",13,"NeverMarried"," Other-service",2,35,1
"2530",31," Private",12,"NeverMarried"," Other-service",2,40,1
"2531",55," Private",16,"Married"," Tech-support",2,18,2
"2532",49," gov",19,"Married"," Prof-specialty",2,60,2
"2533",26," Private",16,"NeverMarried"," Sales",2,40,1
"2534",27," Self-emp-not-inc",12,"DSW"," Transport-moving",2,70,1
"2535",35," Private",12,"DSW"," Adm-clerical",1,40,1
"2536",40," Private",12,"DSW"," Other-service",2,60,1
"2537",59," Private",13,"Married"," Prof-specialty",2,34,1
"2538",61," Private",13,"Married"," Sales",2,45,2
"2539",31," Private",12,"NeverMarried"," Sales",1,40,1
"2540",43," gov",17,"DSW"," Protective-serv",2,60,2
"2541",61," Private",6,"NeverMarried"," Handlers-cleaners",2,40,1
"2542",54," Private",15,"DSW"," Adm-clerical",1,30,1
"2543",30," Private",13,"Married"," Sales",2,50,1
"2544",20," Private",13,"NeverMarried"," Sales",1,50,1
"2545",27," gov",17,"NeverMarried"," Prof-specialty",1,50,1
"2546",44," Self-emp-inc",13,"DSW"," Machine-op-inspct",2,60,1
"2547",64," Private",13,"DSW"," Adm-clerical",1,40,1
"2548",55," Private",12,"DSW"," Adm-clerical",1,40,1
"2549",34," Private",12,"DSW"," Craft-repair",2,55,1
"2550",61," Private",12,"DSW"," Sales",1,35,1
"2551",28," Private",16,"Married"," Prof-specialty",2,40,1
"2552",34," Private",12,"DSW"," Machine-op-inspct",1,40,1
"2553",47," Self-emp-inc",18,"Married"," Prof-specialty",2,60,2
"2554",26," Private",16,"NeverMarried"," Adm-clerical",2,45,1
"2555",35," Private",10,"NeverMarried"," Other-service",2,40,1
"2556",36," Private",16,"Married"," Prof-specialty",2,38,1
"2557",47," Private",16,"Married"," Prof-specialty",2,40,2
"2558",17," Private",10,"NeverMarried"," Other-service",1,25,1
"2559",35," Private",13,"Married"," Prof-specialty",2,60,1
"2560",33," Private",17,"NeverMarried"," Prof-specialty",2,20,1
"2561",25," Private",15,"Married"," Adm-clerical",1,40,1
"2562",18," Private",9,"NeverMarried"," Sales",2,10,1
"2563",47," gov",17,"DSW"," Prof-specialty",2,38,1
"2564",44," Private",12,"DSW"," Other-service",1,30,1
"2565",41," Private",12,"DSW"," Other-service",1,30,1
"2566",30," Private",16,"NeverMarried"," Adm-clerical",1,40,1
"2567",53," Self-emp-not-inc",13,"Married"," Farming-fishing",2,50,1
"2568",53," Private",12,"DSW"," Other-service",1,20,1
"2569",40," Private",12,"Married"," Sales",1,20,1
"2570",24," Private",13,"NeverMarried"," Adm-clerical",2,24,1
"2571",27," Private",16,"NeverMarried"," Sales",2,40,1
"2572",50," Private",6,"Married"," Transport-moving",2,37,1
"2573",36," Private",10,"Married"," Craft-repair",2,50,1
"2574",41," Private",17,"NeverMarried"," Prof-specialty",1,40,1
"2575",31," Private",12,"NeverMarried"," Other-service",1,40,1
"2576",32," gov",16,"Married"," Exec-managerial",2,40,1
"2577",22," Private",13,"NeverMarried"," Machine-op-inspct",2,48,1
"2578",22," Private",9,"DSW"," Craft-repair",2,40,1
"2579",18," gov",11,"NeverMarried"," Prof-specialty",2,30,1
"2580",39," Private",16,"Married"," Prof-specialty",2,30,1
"2581",38," Private",12,"Married"," Exec-managerial",1,55,1
"2582",35," gov",12,"Married"," Craft-repair",2,40,1
"2583",23," Private",13,"NeverMarried"," Machine-op-inspct",2,40,1
"2584",54," Self-emp-not-inc",16,"Married"," Exec-managerial",2,40,2
"2585",36," Private",17,"Married"," Prof-specialty",2,60,2
"2586",63," gov",12,"Married"," Exec-managerial",2,55,1
"2587",39," Private",13,"Married"," Exec-managerial",2,48,1
"2588",57," Self-emp-not-inc",13,"Married"," Sales",2,60,2
"2589",58," Self-emp-inc",18,"Married"," Prof-specialty",2,50,2
"2590",29," Private",16,"NeverMarried"," Adm-clerical",1,40,1
"2591",17," Private",10,"NeverMarried"," Sales",1,20,1
"2592",40," Private",12,"DSW"," Craft-repair",2,40,1
"2593",69," Self-emp-not-inc",13,"Married"," Other-service",1,15,1
"2594",28," Private",9,"DSW"," Sales",1,40,1
"2595",38," Private",8,"Married"," Craft-repair",2,40,1
"2596",44," Private",18,"NeverMarried"," Prof-specialty",2,40,2
"2597",45," gov",18,"DSW"," Prof-specialty",1,40,1
"2598",33," gov",16,"Married"," Adm-clerical",2,40,1
"2599",41," gov",13,"Married"," Other-service",2,40,2
"2600",37," Self-emp-inc",12,"Married"," Sales",2,60,2
"2601",50," Private",13,"Married"," Sales",2,45,2
"2602",48," Private",16,"Married"," Prof-specialty",2,50,1
"2603",36," Private",13,"Married"," Exec-managerial",2,60,2
"2604",21," Private",13,"NeverMarried"," Other-service",1,37,1
"2605",37," Private",15,"Married"," Farming-fishing",2,40,1
"2606",20," gov",13,"NeverMarried"," Prof-specialty",1,20,1
"2607",54," Self-emp-not-inc",12,"Married"," Sales",1,30,1
"2608",28," Private",12,"DSW"," Sales",1,40,1
"2609",27," Private",13,"NeverMarried"," Prof-specialty",2,40,1
"2610",33," Private",14,"NeverMarried"," Other-service",1,40,1
"2611",40," Self-emp-not-inc",18,"NeverMarried"," Prof-specialty",2,45,2
"2612",47," Private",17,"Married"," Sales",2,40,2
"2613",25," Private",11,"NeverMarried"," Handlers-cleaners",2,43,1
"2614",35," Private",16,"Married"," Prof-specialty",2,55,1
"2615",29," Private",13,"Married"," Sales",1,25,1
"2616",30," Private",12,"DSW"," Machine-op-inspct",2,40,1
"2617",30," Private",13,"Married"," Handlers-cleaners",2,40,1
"2618",56," Self-emp-not-inc",7,"DSW"," Other-service",1,40,1
"2619",25," Self-emp-not-inc",16,"NeverMarried"," Prof-specialty",2,30,1
"2620",28," Private",12,"NeverMarried"," Handlers-cleaners",2,40,1
"2621",43," Self-emp-not-inc",8,"Married"," Craft-repair",2,40,1
"2622",47," gov",12,"Married"," Protective-serv",2,60,2
"2623",46," Self-emp-not-inc",16,"Married"," Craft-repair",2,40,1
"2624",41," gov",17,"DSW"," Prof-specialty",1,35,1
"2625",38," gov",15,"Married"," Adm-clerical",1,33,2
"2626",29," Private",12,"NeverMarried"," Protective-serv",2,40,1
"2627",25," Private",6,"NeverMarried"," Craft-repair",2,40,1
"2628",56," Private",10,"Married"," Craft-repair",2,45,1
"2629",31," Private",7,"Married"," Handlers-cleaners",2,40,1
"2630",22," Private",10,"NeverMarried"," Other-service",2,40,1
"2631",31," Private",12,"NeverMarried"," Handlers-cleaners",2,40,1
"2632",28," Private",13,"DSW"," Adm-clerical",1,40,1
"2633",53," Private",16,"Married"," Exec-managerial",2,40,1
"2634",45," Private",17,"DSW"," Exec-managerial",1,50,2
"2635",39," Private",12,"Married"," Craft-repair",2,50,2
"2636",19," gov",12,"Married"," Sales",1,40,1
"2637",34," gov",16,"DSW"," Prof-specialty",1,40,1
"2638",36," Private",12,"Married"," Adm-clerical",2,45,1
"2639",40," Private",12,"Married"," Other-service",1,40,1
"2640",56," Private",18,"Married"," Exec-managerial",2,16,1
"2641",21," Private",12,"NeverMarried"," Prof-specialty",1,40,1
"2642",48," Private",16,"Married"," Exec-managerial",2,45,2
"2643",45," Private",13,"DSW"," Adm-clerical",1,27,1
"2644",46," Private",12,"Married"," Machine-op-inspct",2,40,2
"2645",64," Private",9,"DSW"," Other-service",1,35,1
"2646",29," gov",17,"NeverMarried"," Prof-specialty",2,40,1
"2647",22," Private",12,"DSW"," Tech-support",1,30,1
"2648",47," Private",12,"Married"," Transport-moving",2,48,2
"2649",67," Self-emp-inc",16,"Married"," Exec-managerial",2,75,2
"2650",43," Private",12,"Married"," Handlers-cleaners",2,40,1
"2651",42," Private",13,"Married"," Sales",2,40,1
"2652",31," Private",13,"Married"," Other-service",2,50,1
"2653",53," Private",10,"DSW"," Other-service",1,40,1
"2654",33," gov",12,"DSW"," Adm-clerical",1,40,1
"2655",17," Private",11,"NeverMarried"," Other-service",1,8,1
"2656",55," Self-emp-inc",18,"Married"," Exec-managerial",2,50,2
"2657",28," Private",12,"NeverMarried"," Handlers-cleaners",2,30,1
"2658",24," Private",13,"NeverMarried"," Sales",1,40,1
"2659",40," Private",12,"DSW"," Adm-clerical",1,45,1
"2660",30," gov",17,"NeverMarried"," Adm-clerical",1,40,1
"2661",24," Private",10,"NeverMarried"," Machine-op-inspct",1,40,1
"2662",26," Private",17,"Married"," Sales",1,40,1
"2663",38," Private",13,"DSW"," Sales",1,38,1
"2664",30," Private",12,"Married"," Tech-support",2,40,2
"2665",33," Private",16,"Married"," Exec-managerial",2,50,1
"2666",40," Private",12,"Married"," Sales",2,60,2
"2667",23," Private",7,"NeverMarried"," Craft-repair",2,36,1
"2668",56," Private",12,"DSW"," Craft-repair",2,40,1
"2669",42," Self-emp-not-inc",14,"Married"," Exec-managerial",2,60,1
"2670",40," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2671",49," Private",15,"Married"," Sales",1,40,2
"2672",35," Private",12,"Married"," Craft-repair",2,40,1
"2673",52," Private",12,"DSW"," Machine-op-inspct",1,35,1
"2674",28," Private",16,"NeverMarried"," Adm-clerical",1,40,1
"2675",35," Private",9,"Married"," Transport-moving",2,70,1
"2676",43," Self-emp-not-inc",12,"NeverMarried"," Craft-repair",2,35,1
"2677",29," Self-emp-not-inc",18,"NeverMarried"," Prof-specialty",2,50,2
"2678",23," Private",16,"NeverMarried"," Machine-op-inspct",2,25,1
"2679",50," gov",13,"Married"," Adm-clerical",2,48,1
"2680",34," Private",13,"NeverMarried"," Other-service",2,40,1
"2681",19," Private",12,"NeverMarried"," Other-service",2,40,1
"2682",47," Private",10,"Married"," Machine-op-inspct",1,40,1
"2683",37," Self-emp-not-inc",13,"Married"," Farming-fishing",2,40,1
"2684",25," Private",12,"NeverMarried"," Sales",1,35,1
"2685",75," Private",13,"Married"," Exec-managerial",2,35,2
"2686",24," Private",12,"Married"," Craft-repair",2,40,1
"2687",28," gov",16,"NeverMarried"," Tech-support",2,20,1
"2688",17," gov",10,"NeverMarried"," Other-service",1,16,1
"2689",31," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2690",45," Private",16,"Married"," Prof-specialty",2,55,2
"2691",31," Private",12,"NeverMarried"," Craft-repair",2,42,1
"2692",27," Private",16,"Married"," Prof-specialty",2,42,2
"2693",48," Private",13,"DSW"," Exec-managerial",1,38,1
"2694",34," Private",16,"Married"," Protective-serv",2,30,1
"2695",26," Private",12,"NeverMarried"," Machine-op-inspct",1,40,1
"2696",53," Private",13,"Married"," Prof-specialty",2,40,1
"2697",60," Private",16,"Married"," Exec-managerial",2,35,2
"2698",49," gov",17,"DSW"," Prof-specialty",1,50,1
"2699",40," Private",13,"DSW"," Exec-managerial",1,40,1
"2700",23," Private",16,"NeverMarried"," Prof-specialty",2,50,1
"2701",42," Private",14,"Married"," Prof-specialty",2,40,2
"2702",27," Private",12,"NeverMarried"," Craft-repair",1,45,1
"2703",38," Private",13,"Married"," Exec-managerial",2,44,2
"2704",27," Private",12,"NeverMarried"," Craft-repair",2,35,1
"2705",75," Private",12,"DSW"," Adm-clerical",1,40,1
"2706",49," Self-emp-inc",16,"Married"," Sales",2,52,2
"2707",27," Private",13,"NeverMarried"," Sales",2,20,1
"2708",36," Self-emp-not-inc",16,"NeverMarried"," Farming-fishing",2,50,1
"2709",36," Private",16,"Married"," Prof-specialty",2,45,2
"2710",35," Private",12,"DSW"," Handlers-cleaners",2,35,1
"2711",36," Private",12,"Married"," Sales",2,40,2
"2712",53," Private",10,"Married"," Craft-repair",2,40,1
"2713",27," Private",13,"NeverMarried"," Adm-clerical",1,40,1
"2714",34," Private",12,"DSW"," Craft-repair",2,35,1
"2715",61," Private",13,"Married"," Sales",2,44,2
"2716",29," Private",12,"DSW"," Machine-op-inspct",2,56,1
"2717",40," gov",13,"DSW"," Adm-clerical",1,35,1
"2718",37," Private",17,"NeverMarried"," Exec-managerial",2,40,2
"2719",22," Private",8,"NeverMarried"," Handlers-cleaners",2,30,1
"2720",43," Self-emp-inc",13,"Married"," Exec-managerial",2,40,1
"2721",55," Self-emp-not-inc",12,"Married"," Farming-fishing",2,30,1
"2722",28," Private",13,"DSW"," Adm-clerical",1,40,1
"2723",23," Private",16,"NeverMarried"," Other-service",1,30,1
"2724",64," gov",10,"Married"," Craft-repair",2,40,2
"2725",46," Private",13,"NeverMarried"," Handlers-cleaners",2,40,1
"2726",29," Private",13,"NeverMarried"," Craft-repair",2,40,1
"2727",44," Private",17,"Married"," Exec-managerial",2,48,1
"2728",20," Private",13,"NeverMarried"," Prof-specialty",2,25,1
"2729",62," Self-emp-not-inc",13,"DSW"," Sales",2,40,1
"2730",49," Private",14,"NeverMarried"," Exec-managerial",1,35,1
"2731",29," Private",9,"Married"," Farming-fishing",1,40,1
"2732",35," Self-emp-not-inc",16,"Married"," Sales",2,60,1
"2733",39," gov",10,"Married"," Transport-moving",2,30,1
"2734",39," Private",16,"NeverMarried"," Exec-managerial",2,45,1
"2735",37," Private",12,"DSW"," Machine-op-inspct",1,32,1
"2736",38," Private",12,"Married"," Handlers-cleaners",2,30,1
"2737",31," Private",7,"Married"," Machine-op-inspct",2,40,1
"2738",55," Private",7,"Married"," Craft-repair",2,60,1
"2739",38," Private",13,"DSW"," Other-service",1,40,1
"2740",33," Private",13,"DSW"," Sales",1,25,1
"2741",25," Private",15,"NeverMarried"," Adm-clerical",1,40,1
"2742",37," Private",14,"DSW"," Tech-support",1,52,1
"2743",49," Private",13,"DSW"," Tech-support",2,35,1
"2744",26," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2745",35," Private",12,"Married"," Craft-repair",2,43,1
"2746",44," Self-emp-inc",12,"Married"," Sales",1,60,1
"2747",37," Private",17,"DSW"," Exec-managerial",2,45,2
"2748",42," Private",16,"Married"," Prof-specialty",2,45,2
"2749",64," gov",19,"NeverMarried"," Prof-specialty",1,40,2
"2750",28," Private",12,"Married"," Handlers-cleaners",2,40,2
"2751",35," Self-emp-not-inc",12,"NeverMarried"," Exec-managerial",2,50,1
"2752",40," gov",16,"Married"," Adm-clerical",2,40,1
"2753",55," gov",16,"Married"," Prof-specialty",2,40,2
"2754",21," Private",12,"NeverMarried"," Farming-fishing",2,65,1
"2755",49," Private",13,"NeverMarried"," Exec-managerial",1,40,1
"2756",51," gov",19,"Married"," Prof-specialty",2,40,2
"2757",57," Private",18,"Married"," Craft-repair",2,40,2
"2758",51," Private",16,"Married"," Craft-repair",2,40,2
"2759",38," Private",9,"NeverMarried"," Craft-repair",2,40,1
"2760",24," Private",12,"NeverMarried"," Sales",1,32,1
"2761",45," Self-emp-not-inc",12,"Married"," Craft-repair",2,40,1
"2762",28," Private",12,"Married"," Machine-op-inspct",2,45,1
"2763",42," Self-emp-inc",18,"Married"," Prof-specialty",2,60,2
"2764",22," Private",13,"NeverMarried"," Other-service",2,40,1
"2765",28," gov",17,"Married"," Exec-managerial",2,40,1
"2766",60," Private",12,"DSW"," Machine-op-inspct",1,40,1
"2767",31," Private",12,"DSW"," Machine-op-inspct",1,40,1
"2768",47," Private",13,"Married"," Craft-repair",2,75,2
"2769",30," Private",12,"Married"," Adm-clerical",2,60,1
"2770",61," Private",17,"Married"," Sales",2,60,2
"2771",71," gov",16,"DSW"," Prof-specialty",1,6,1
"2772",42," Private",12,"DSW"," Adm-clerical",1,40,1
"2773",44," gov",11,"Married"," Craft-repair",2,55,1
"2774",46," Self-emp-not-inc",13,"Married"," Sales",2,60,2
"2775",50," gov",18,"NeverMarried"," Exec-managerial",1,52,2
"2776",27," gov",16,"NeverMarried"," Prof-specialty",2,9,1
"2777",21," Private",13,"NeverMarried"," Adm-clerical",1,40,1
"2778",25," Private",12,"NeverMarried"," Handlers-cleaners",2,35,1
"2779",61," Private",6,"DSW"," Transport-moving",2,56,1
"2780",54," Private",13,"DSW"," Adm-clerical",2,30,1
"2781",31," Private",16,"NeverMarried"," Sales",2,40,1
"2782",53," Self-emp-not-inc",13,"Married"," Farming-fishing",2,30,1
"2783",39," Self-emp-inc",15,"Married"," Exec-managerial",2,55,2
"2784",57," Self-emp-inc",18,"Married"," Transport-moving",2,50,2
"2785",48," Private",16,"DSW"," Sales",1,44,1
"2786",30," Private",13,"Married"," Transport-moving",2,56,2
"2787",35," Private",12,"Married"," Handlers-cleaners",2,60,1
"2788",42," Self-emp-not-inc",12,"Married"," Exec-managerial",2,50,1
"2789",34," Self-emp-not-inc",12,"Married"," Machine-op-inspct",2,40,1
"2790",59," Private",12,"Married"," Sales",2,40,2
"2791",69," gov",9,"Married"," Exec-managerial",2,20,1
"2792",29," Private",13,"NeverMarried"," Adm-clerical",1,40,1
"2793",40," Private",12,"Married"," Transport-moving",2,40,1
"2794",21," Private",13,"NeverMarried"," Other-service",2,15,1
"2795",40," Private",15,"DSW"," Prof-specialty",1,40,1
"2796",43," Private",13,"Married"," Craft-repair",2,40,1
"2797",36," Private",12,"DSW"," Handlers-cleaners",2,40,1
"2798",41," Private",12,"Married"," Prof-specialty",2,40,2
"2799",20," Private",13,"NeverMarried"," Transport-moving",2,30,1
"2800",41," gov",16,"DSW"," Adm-clerical",1,40,1
"2801",34," Private",13,"DSW"," Exec-managerial",2,50,1
"2802",48," Private",10,"DSW"," Other-service",1,40,1
"2803",27," Private",12,"NeverMarried"," Exec-managerial",1,40,1
"2804",35," Private",13,"Married"," Exec-managerial",2,60,2
"2805",27," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2806",20," Private",13,"NeverMarried"," Sales",2,40,1
"2807",18," Private",13,"NeverMarried"," Sales",1,15,1
"2808",32," Private",16,"Married"," Sales",2,40,1
"2809",38," Private",17,"Married"," Exec-managerial",2,60,2
"2810",23," gov",13,"NeverMarried"," Other-service",2,40,1
"2811",28," Private",16,"Married"," Exec-managerial",2,45,2
"2812",40," gov",18,"Married"," Prof-specialty",2,38,2
"2813",35," Private",12,"DSW"," Machine-op-inspct",1,40,1
"2814",74," Self-emp-inc",13,"DSW"," Exec-managerial",2,40,1
"2815",28," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2816",23," Private",13,"NeverMarried"," Handlers-cleaners",2,30,1
"2817",20," Self-emp-not-inc",13,"NeverMarried"," Farming-fishing",2,10,1
"2818",44," Private",12,"DSW"," Machine-op-inspct",1,56,1
"2819",46," gov",12,"DSW"," Adm-clerical",1,25,1
"2820",51," Self-emp-not-inc",16,"Married"," Sales",2,50,2
"2821",40," Private",13,"DSW"," Adm-clerical",1,40,1
"2822",48," Private",18,"Married"," Tech-support",2,40,2
"2823",48," Self-emp-inc",16,"Married"," Exec-managerial",2,40,2
"2824",46," gov",16,"Married"," Prof-specialty",1,70,1
"2825",48," Self-emp-inc",16,"Married"," Exec-managerial",2,40,2
"2826",24," gov",16,"NeverMarried"," Prof-specialty",1,40,1
"2827",45," gov",13,"DSW"," Prof-specialty",1,40,1
"2828",18," Private",11,"NeverMarried"," Sales",1,35,1
"2829",39," Private",12,"Married"," Machine-op-inspct",2,40,1
"2830",65," Self-emp-inc",12,"Married"," Farming-fishing",2,65,1
"2831",22," Private",13,"DSW"," Machine-op-inspct",1,40,1
"2832",20," Private",13,"NeverMarried"," Other-service",1,20,1
"2833",28," Private",13,"Married"," Sales",2,40,1
"2834",46," Private",18,"Married"," Prof-specialty",2,50,2
"2835",42," gov",16,"Married"," Exec-managerial",2,48,2
"2836",61," gov",19,"Married"," Prof-specialty",2,40,2
"2837",28," Private",13,"Married"," Exec-managerial",2,50,2
"2838",18," Private",13,"NeverMarried"," Sales",1,20,1
"2839",24," gov",16,"NeverMarried"," Prof-specialty",2,40,1
"2840",45," Private",19,"Married"," Prof-specialty",2,56,2
"2841",24," Private",12,"NeverMarried"," Adm-clerical",2,40,1
"2842",44," Private",16,"Married"," Exec-managerial",2,50,2
"2843",20," Private",13,"NeverMarried"," Other-service",2,30,1
"2844",35," Private",13,"Married"," Tech-support",2,55,1
"2845",52," Self-emp-inc",16,"Married"," Sales",2,60,1
"2846",25," Private",15,"NeverMarried"," Farming-fishing",2,45,1
"2847",19," Private",6,"NeverMarried"," Farming-fishing",2,36,1
"2848",54," Private",13,"DSW"," Adm-clerical",1,40,1
"2849",21," Private",13,"NeverMarried"," Craft-repair",2,40,1
"2850",26," Private",12,"Married"," Adm-clerical",1,40,2
"2851",42," Private",14,"DSW"," Adm-clerical",1,40,1
"2852",19," Private",13,"NeverMarried"," Adm-clerical",1,40,1
"2853",55," Private",17,"Married"," Exec-managerial",2,50,2
"2854",44," gov",12,"Married"," Adm-clerical",2,40,1
"2855",25," Private",16,"NeverMarried"," Exec-managerial",2,55,1
"2856",26," Private",13,"Married"," Machine-op-inspct",2,40,1
"2857",64," gov",15,"DSW"," Prof-specialty",1,40,2
"2858",41," Private",10,"DSW"," Other-service",1,40,1
"2859",43," Private",13,"Married"," Transport-moving",2,40,1
"2860",45," Private",12,"NeverMarried"," Craft-repair",2,48,2
"2861",48," gov",16,"Married"," Prof-specialty",2,44,2
"2862",60," Private",12,"Married"," Transport-moving",2,40,1
"2863",45," Self-emp-not-inc",13,"NeverMarried"," Farming-fishing",2,50,1
"2864",51," Private",9,"Married"," Sales",2,40,2
"2865",37," gov",12,"DSW"," Adm-clerical",1,40,1
"2866",22," Private",13,"NeverMarried"," Adm-clerical",2,30,1
"2867",44," Private",12,"Married"," Craft-repair",2,65,2
"2868",27," Private",12,"Married"," Craft-repair",2,50,1
"2869",47," gov",12,"Married"," Craft-repair",2,40,1
"2870",32," Private",17,"Married"," Exec-managerial",2,40,2
"2871",40," Private",16,"Married"," Exec-managerial",2,50,2
"2872",41," Private",12,"Married"," Sales",2,40,1
"2873",26," Private",16,"NeverMarried"," Prof-specialty",1,40,1
"2874",47," Private",13,"Married"," Exec-managerial",2,40,1
"2875",55," Self-emp-inc",12,"Married"," Exec-managerial",2,45,1
"2876",38," Private",12,"Married"," Handlers-cleaners",2,40,1
"2877",24," gov",16,"NeverMarried"," Prof-specialty",2,15,1
"2878",64," Self-emp-not-inc",19,"Married"," Exec-managerial",2,25,2
"2879",56," gov",16,"Married"," Prof-specialty",2,40,2
"2880",41," Private",12,"Married"," Sales",2,49,2
"2881",33," Private",12,"Married"," Sales",2,45,2
"2882",33," Private",18,"NeverMarried"," Prof-specialty",2,42,2
"2883",21," Private",13,"Married"," Other-service",2,40,1
"2884",59," gov",12,"DSW"," Craft-repair",2,40,1
"2885",58," Private",14,"Married"," Exec-managerial",2,40,2
"2886",43," gov",17,"DSW"," Prof-specialty",2,40,1
"2887",21," Private",12,"NeverMarried"," Craft-repair",2,40,1
"2888",45," Private",12,"NeverMarried"," Machine-op-inspct",2,40,1
"2889",53," gov",12,"Married"," Exec-managerial",1,50,2
"2890",41," Private",18,"Married"," Adm-clerical",2,50,2
"2891",27," Private",9,"Married"," Exec-managerial",1,40,1
"2892",53," Private",13,"Married"," Craft-repair",2,50,2
"2893",38," Private",17,"Married"," Prof-specialty",2,35,2
